"Goods Shipped","Gross Weight (t)"
"ONE 40´ X 8´ X 8´6"" GENERAL PU SLAC 72 DRUMS CONTAINING HAZARDOUS GOODS UN3082 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID,N. O.S. (TRICLOPYR-2-BUTOXYETHYL ESTER), 9, III, MARINE POLLUTA NT, F-A, S-F, STOWAGE CATEGORY A UN3082 ENVIRONMENTALLY HAZA RDOUS SUBSTANCE, LIQUID, N.O.S . (TRICLOPYR-2-BUTOXYETHYL EST CHEMICALS NOS, HAZARDOUS TRICLOPYR BUTOXYETHYL ESTER, TECHNICAL 550 LB DRUM GMID 003 41819 HAZARDOUS GOODS IMDG UN3082 ENVIRON NLR","19.18"
"ONE 40´ X 8´ X 8´6"" GENERAL PU SLAC 72 DRUM ON 18 PLTS CONTAINING HAZARDOUS GOODS (TRICLOPYR-2-BUTOXYETHYL ESTER), 9, III, MARINE POLLUTA NT, F-A, S-F, STOWAGE CATEGORY A UN3082 ENVIRONMENTALLY HAZA RDOUS SUBSTANCE, LIQUID, N.O.S . (TRICLOPYR-2-BUTOXYETHYL EST CHEMICALS NOS, HAZARDOUS","19.18"
"ONE 20´ X 8´ X 8´6"" GENERAL PU SLAC 500 FIBREBOARD BOX CONTAINING HAZARDOUS GOODS UN3082 ENVIRONMENTALLY RT IMDG UN3082 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID,N. O.S. (PENOXSULAM), 9, III, MARINE POLLUTANT, F-A, S-F, STOWAGE CATEGORY A UN3082 ENVIRONMENTALLY HAZARDOUS SUBSTANCE,LIQ UID, N.O.S. (PENOXSULAM), 9, I II 4G/Z17.8/S/ CHEMICALS NOS, HAZARDOUS RICER (TM) HERBICIDE 12X1L HP E BTL CASED HAZARDOUS GOODS","7.5"
"ONE 20´ X 8´ X 8´6"" GENERAL PU SLAC 500 FIBREBOARD BOXES PLASTIC BOTTLES UN3082 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID,N. O.S. (PENOXSULAM), 9, III, MAR INE POLLUTANT, F-A, S-F, STOWA GE CATEGORY A UN3082 ENVIRONME NTALLY HAZARDOUS SUBSTANCE,LIQ UID, N.O.S. (PENOXSULAM), 9, I II 4G/Z17.8/S/ CHEMICALS NOS, HAZARDOUS RICER (TM) HERBICIDE 12X1L HP","7.5"
"TRICYCLAZOLE TECHNICAL (FUNGICIDE) 375 HM HDPE DRUMS PACKED WITH 80 KG: INV NO?: NACL1617008 UN NO?: 2588 CLASS ?: 6.1","35.68"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS POLYGLYCOL 26-2 BULK HAZARDOUS UN3082 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID, N.O.S. (ALKYLPHENOL ALKOXYLATE), 9, III, MARINE POLLUTANT, F-A, S-F,","20.05"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.93"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO IDMG: UN1160, DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (-32.00#CC.C), F-E, S-C, STOWAGE CATEGORY B, IDMG CODE SEGREGATION GROUP -ALKALIS CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTN SPEC 21042-R801 MID 95249)","17.94"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.98"
"5 20´ X 8´ X 8´6"" GENERAL PU SLAC 4000 PAPER BAGS OF 25 KG NET EACH ON 100 PALLETS PTACO092 OF DEFEND WDG","105"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANKHAZARDOUS GOODS  UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","18.01"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.96"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.92"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.94"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODSUN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.97"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.95"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.94"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.91"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.88"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.96"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1604 ETHYLENEDIAMINE, 8, (3), II, RQ (38.00 #C C.C.), ALKALIS CHEMICALS NOS, HAZARDOUS NLR (ETHYLENEDIAMINE BULK HAZARDOUS)","19.89"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.95"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.91"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.98"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.92"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1604 ETHYLENEDIAMINE, 8, (3), II, RQ (38.00 #C C.C.), F-E, S-C, IMDG CODE SEGREGATION GROUP- ALKALIS CHEMICALS NOS, HAZARDOUS NLR (ETHYLENEDIAMINE BULK HAZARDOUS)","19.99"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK 1 IN BULK CONTAINING HAZARDOUS GOODS INFO UN3082 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, LIQUID N.O.S. (ALKYLPHENOL ALKOXYLATE), 9, III, MARINE POLLUTANT, F-A, S-F, STOWAGE CATEGORY (ALKYLPHENOL ALKOXYLATE), 9, III RESIN NLR POLYGLYCOL 26-2 BULK","19.9"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.95"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION 3 (8), IIDIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.94"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.93"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.94"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1604 ETHYLENEDIAMINE, 8, (3), II, RQ (38.00 #C C.C.), F-E, S-C, STOWAGE CATEGORY A, IMDG CODE SEGREGATION GROUP- ALKALIS CHEMICALS NOS, HAZARDOUS NLR (ETHYLENEDIAMINE BULK HAZARDOUS)","19.99"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.94"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1604 ETHYLENEDIAMINE, 8, (3), II, RQ (38.00 #C C.C.), F-E, S-C, STOWAGE CATEGORY A, IMDG CODE SEGREGATION GROUP- ALKALIS CHEMICALS NOS, HAZARDOUS NLR (ETHYLENEDIAMINE BULK HAZARDOUS)","19.99"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1604 ETHYLENEDIAMINE, 8, (3), II, RQ (38.00 #C C.C.), F-E, S-C, ALKALIS CHEMICALS NOS, HAZARDOUS NLR (ETHYLENEDIAMINE BULK HAZARDOUS)","20.01"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS UN1160 DIMETHYLAMINE SOLU TION, 3 (8), II IMDG UN1160 DI METHYLAMINE, AQUEOUS SOLUTION, 3 (8), II, (- 32.00 #C C.C.),F -E, S-C, STOWAGE CATEGORY B,IM DG CODE SEGREGATION GROUP -ALK ALIS UN1160 DIMETHYLAMINE,AQUE OUS SOLUTION, 3 (8), II DIMETHYLAMINE, 60% AQUEOUS SO LUTION DIMETHYLAMINE 60% AQU S OLTN SPEC 21042-R801 MID 95249","17.9"
"1 40 CONTAINER CONTAINING 20 BAG(S) CONTAINING HAZARDOUS GOODS INFO UNITED ST ATES NOT REGULATED FOR TRANSPO RT IMDG UN3077 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N. O.S. (PICLORAM), 9, III","17.53"
"1 40 CONTAINER CONTAINING 20 BAG(S) CONTAINING HAZARDOUS GOODS INFO UNITED ST ATES NOT REGULATED FOR TRANSPO RT IMDG UN3077 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N. O.S. (PICLORAM), 9, III","18.31"
"1 20 CONTAINER CONTAINING 400 BAG(S) ON 15 PLTS CONTAINING CHEMICALS VERSENE# ACID CHELATING AGENT 25 KG BAG","10.18"
"1 40 CONTAINER CONTAINING 20 BAG(S) CONTAINING HAZARDOUS GOODS INFO UNITED ST ATES NOT REGULATED FOR TRANSPO RT IMDG UN3077 ENVIRONMENTALLY HAZARDOUS SUBSTANCE, SOLID, N. O.S. (PICLORAM), 9, III","17.36"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1604 ETHYLENEDIAMINE, 8, (3), II, RQ (38.00 #C C.C.), F-E, S-C, STOWAGE CATEGORY A, IMDG CODE SEGREGATION GROUP- ALKALIS CHEMICALS NOS, HAZARDOUS NLR (ETHYLENEDIAMINE BULK HAZARDOUS)","19.99"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1604 ETHYLENEDIAMINE, 8, (3), II,","20.01"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.94"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.96"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.91"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1604 ETHYLENEDIAMINE, 8, (3), II, RQ (38.00 #C C.C.), F-E, S-C, STOWAGE CATEGORY A, IMDG CODE SEGREGATION GROUP- ALKALIS CHEMICALS NOS, HAZARDOUS NLR (ETHYLENEDIAMINE BULK HAZARDOUS)","19.99"
"5 20´ X 8´ X 8´6"" GENERAL PU SLAC 4000 BAG, PAPER 100 PALLETS PTACO092 DEFEND WDG","105"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.93"
"3 20´ X 8´ X 8´6"" GENERAL PU SLAC 2400 BAG,20 PALLETS  PTACO092 DEFEND WDG","63"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUPALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","18.09"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUPALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.92"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.91"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.95"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.97"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUPALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","18.03"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUPALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.99"
"ONE 20´ X 8´ X 8´6"" TANK CONTA SLAC 1 TANK HAZARDOUS GOODS INFO UNITED STATES UN1160 DIMETHYLAMINE SOLUTION, 3 (8), II IMDG UN1160 DIMETHYLAMINE , AQUEOUS SOLUTION, 3 (8), II, (-32.00 #C C.C), F-E, S-C, STOWAGE CATEGORY B, IMDG CODE SEGREGATION GROUP- ALKALIS UN1160 DIMETHYLAMINE, AQUEOUS SOLUTION, 3 (8), II CHEMICALS NOS, HAZARDOUS D1012936 (DIMETHYLAMINE, 60% AQUEOUS SOLUTION DIMETHYLAMINE 60% AQU SOLTM SPEC 21042-R801 MID 952549)","17.93"
